index,Players,Year,Matches,Runs,Average,Higest_score,Strike Rate,NO,Fifty,Four,Six
0,Jos Buttler,2022,17,863,57.53,116,149.05,2,4,83,45
1,K L Rahul,2022,15,616,51.33,103*,135.38,3,4,45,30
2,Quinton De Kock,2022,15,508,36.29,140*,148.97,1,3,47,23
3,Hardik Pandya,2022,15,487,44.27,87*,131.26,4,4,49,12
4,Shubman Gill,2022,16,483,34.50,96,132.32,2,4,51,11
5,David Miller,2022,16,481,68.71,94*,142.72,9,2,32,23
6,Faf Du Plessis,2022,16,468,31.20,96,127.52,1,3,49,13
7,Shikhar Dhawan,2022,14,460,38.33,88*,122.66,2,3,47,12
8,Sanju Samson,2022,17,458,28.63,55,146.79,1,2,43,26
9,Deepak Hooda,2022,15,451,32.21,59,136.66,0,4,36,18
10,Liam Livingstone,2022,14,437,36.42,70,182.08,2,4,29,34
11,David Warner,2022,12,432,48.00,92*,150.52,3,5,52,15
12,Abhishek Sharma,2022,14,426,30.43,75,133.12,0,2,47,13
13,Ishan Kishan,2022,14,418,32.15,81*,120.11,1,3,45,11
14,Rahul Tripathi,2022,14,413,37.55,76,158.23,3,3,40,20
15,Shreyas Iyer,2022,14,401,30.85,85,134.56,1,3,41,11
16,Tilak Varma,2022,14,397,36.09,61,131.02,3,2,29,16
17,Aiden Markram,2022,14,381,47.63,68*,139.05,4,3,25,19
18,Devdutt Padikkal,2022,17,376,22.12,54,122.87,0,1,40,14
19,Ruturaj Gaikwad,2022,14,368,26.29,99,126.46,0,3,33,14
20,Nitish Rana,2022,14,361,27.77,57,143.82,1,2,29,22
21,Virat Kohli,2022,16,341,22.73,73,115.98,1,2,32,8
22,Rishabh Pant,2022,14,340,30.91,44,151.78,2,0,35,16
23,Andre Russell,2022,14,335,37.22,70*,174.47,3,1,18,32
24,Rajat Patidar,2022,8,333,55.50,112*,152.75,1,2,27,18
25,Dinesh Karthik,2022,16,330,55.00,66*,183.33,10,1,27,22
26,Wriddhiman Saha,2022,11,317,31.70,68,122.39,1,3,40,7
27,Shimron Hetmyer,2022,15,314,44.86,59*,153.92,8,1,21,21
28,Nicholas Pooran,2022,14,306,38.25,64*,144.33,5,2,16,21
29,Suryakumar Yadav,2022,8,303,43.29,68*,145.67,1,3,23,16
30,Glenn Maxwell,2022,13,301,27.36,55,169.10,2,1,31,15
31,Shivam Dube,2022,11,289,28.90,95*,156.21,1,2,22,16
32,Prithvi Shaw,2022,10,283,28.30,61,152.97,0,2,37,10
33,Ambati Rayudu,2022,13,274,24.91,78,122.32,0,1,25,15
34,Rohit Sharma,2022,14,268,19.14,48,120.17,0,0,28,13
35,Yashasvi Jaiswal,2022,10,258,25.80,68,132.98,0,2,28,10
36,Jonny Bairstow,2022,11,253,23.00,66,144.57,0,2,34,9
37,Devon Conway,2022,7,252,42.00,87,145.66,1,3,22,12
38,Mitchell Marsh,2022,8,251,31.38,89,132.80,0,2,19,14
39,Rovman Powell,2022,14,250,25.00,67*,149.70,2,1,10,22
40,Moeen Ali,2022,10,244,24.40,93,137.85,0,1,24,11
41,Jitesh Sharma,2022,12,234,29.25,44,163.63,2,0,22,12
42,MS Dhoni,2022,14,232,33.14,50*,123.40,6,1,21,10
43,Robin Uthappa,2022,12,230,20.91,88,134.50,0,2,19,14
44,Shahbaz Ahmed,2022,16,219,27.38,45,120.99,3,0,14,9
45,Rahul Tewatia,2022,16,217,31.00,43*,147.61,5,0,22,9
46,Kane Williamson,2022,13,216,19.64,57,93.50,2,1,16,8
47,Bhanuka Rajapaksa,2022,9,206,22.89,43,159.68,0,0,16,13
48,Mayank Agarwal,2022,13,196,16.33,52,122.50,0,1,23,6
49,Ravichandran Ashwin,2022,17,191,27.29,50,141.48,5,1,14,9
50,Tim David,2022,8,186,37.20,46,216.27,3,0,12,16
51,Riyan Parag,2022,17,183,16.64,56*,138.63,3,1,11,10
52,Krunal Pandya,2022,14,183,20.33,42,126.20,4,0,16,4
53,Axar Patel,2022,13,182,45.50,42*,151.66,6,0,12,10
54,Venkatesh Iyer,2022,12,182,16.55,50*,107.69,1,1,17,7
55,Rinku Singh,2022,7,174,34.80,42*,148.71,2,0,17,7
56,Sam Billings,2022,8,169,24.14,36,122.46,1,0,9,10
57,Dewald Brevis,2022,7,161,23.00,49,142.47,0,0,14,11
58,Ayush Badoni,2022,13,161,20.13,54,123.84,3,1,11,7
59,Lalit Yadav,2022,12,161,23.00,48*,110.27,1,0,11,7
60,Matthew Wade,2022,10,157,15.70,35,113.76,0,0,23,2
61,Marcus Stoinis,2022,11,156,19.50,38*,147.16,2,0,7,13
62,Sai Sudharsan,2022,5,145,36.25,65*,127.19,1,1,14,3
63,Kieron Pollard,2022,11,144,14.40,25,107.46,1,0,6,9
64,Ajinkya Rahane,2022,7,133,19.00,44,103.90,0,0,14,4
